"BusTID","InternalNo","BusPlate","SIMCode"
"40288dee5b476aa5015b570c803b025f","2220","粤G58099","8986011674520048033"
"40288dee5b476aa5015b570bbf6a025d","2219","粤G58120","8986011674520048035"
"40288dee5b476aa5015b570b1160025b","2218","粤G58097","8986011674520048068"
"40288dee5b476aa5015b570a65f90259","2217","粤G58117","8986011674520048069"
"40288dee5b476aa5015b5709b8690257","2216","粤G58090","8986011674520048070"
"40288dee5b476aa5015b570906e80255","2215","粤G58085","8986011674520048034"
"40288dee5b476aa5015b570854560253","2214","粤G58122","8986011674520048073"
"40288dee5b476aa5015b570762480251","2212","粤G58110","8986011674520048074"
"40288dee5b476aa5015b5706af71024f","2211","粤G58082",""
"40288dee5b476aa5015b5706069a024d","2209","粤G58078","8986011674520048076"
"40288dee5b476aa5015b570550fb024b","2208","粤G58112","8986011674520048077"
"40288dee5b476aa5015b57049e110249","2207","粤G58055","8986011674520048078"
"40288dee5b476aa5015b5703f6cc0247","2206","粤G58061","8986011674520048071"
"40288dee5b476aa5015b5703259b0245","2205","粤G58027","8986011674520048043"
"40288dee5b476aa5015b570273520243","2203","粤G58100","8986011674520048062"
"40288dee5b476aa5015b5701560b0241","2202","粤G58066","8986011674520048050"
"40288dee5b476aa5015b57006d27023f","2201","粤G58106","8986011674520048049"
"40288dee5b476aa5015b56a4c0e8023d","2112","粤G52829",""
"40288dee5b476aa5015b5695aa6c0227","2101","粤G52376","14546995542"
"40288dee5b476aa5015b5696dec00229","2102","粤G52330","14546995640"
"40288dee5b476aa5015b569a3598022d","2104","粤G52338","14546994854"
"40288dee5b476aa5015b569b1397022f","2105","粤G52328","14546995449"
"40288dee5b476aa5015b569bd19a0231","2106","粤G52336","14546994994"
"40288dee5b476aa5015b569ca9ef0233","2107","粤G52170","14546995524"
"40288dee5b476aa5015b569d7a260235","2108","粤G52377",""
"40288dee5b476aa5015b569ed4bd0237","2109","粤G54569","14546994971"
"40288dee5b476aa5015b5b006ccd031a","2010","粤G58121","8986011674520048072"
"40288dee5b476aa5015b5b012b13031c","2011","粤G58470",""
"40288dee5b476aa5015b5b02c9d70320","2013","粤G58555",""
"40288dee5b476aa5015b5b03cb850322","2014","粤G58180","8986011674520048081"
"40288dee5b476aa5015b5b0493fb0324","2015","粤G58070","8986011674520048096"
"40288dee5b476aa5015b5b0547e40326","2016","粤G58052",""
"40288dee5b476aa5015b5af85a2a0308","2001","粤G58127","8986011674520048008"
"40288dee5b476aa5015b5af93c4d030a","2002","粤G58461",""
"40288dee5b476aa5015b5afa29e7030c","2003","粤G58486",""
"40288dee5b476aa5015b5afb0a5e030e","2004","粤G58478",""
"40288dee5b476aa5015b5afbe1860310","2005","粤G58021",""
"40288dee5b476aa5015b5afc9af40312","2006","粤G58361","8986011674520048489"
"40288dee5b476aa5015b5afd906a0314","2007","粤G58382","8986011674520048503"
"40288dee5b476aa5015b5aff509a0318","2009","粤G52300","14546969530"
"40288dee5b476aa5015b5c22ee4d0435","1516","粤G56840","8986011474520008408S"
"40288dee5b476aa5015b5c2251a40433","1515","粤G56879","14546972003"
"40288dee5b476aa5015b5c21a1890431","1514","粤G56900","14546971963"
"40288dee5b476aa5015b5c20ed38042f","1513","粤G56887","14546972015"
"40288dee5b476aa5015b5c204bfd042d","1512","粤G56855","14546971983"
"40288dee5b476aa5015b5c1facb8042b","1511","粤G56899","14546971875"
"40288dee5b476aa5015b5c1f1bfe0429","1510","粤G56893","14546972081"
"40288dee5b476aa5015b5c1e76330427","1509","粤G56913","14546972029"
"40288dee5b476aa5015b5c1ddb0c0425","1508","粤G56928","14546971399"
"40288dee5b476aa5015b5c1d47810423","1507","粤G56878","14546971990"
"40288dee5b476aa5015b5c1c9d120421","1506","粤G56897","14546971974"
"40288dee5b476aa5015b5c1be30c041f","1505","粤G56871","14546971969"
"40288dee5b476aa5015b5c1b2f71041d","1504","粤G56903","14546972022"
"40288dee5b476aa5015b5c1a96ac041b","1503","粤G56813","14546971995"
"40288dee5b476aa5015b5c19dbe00419","1502","粤G56888",""
"40288dee5b476aa5015b5c1920ce0417","1501","粤G56851","14546972032"
"40288dee5b476aa5015b5c16ed5d0413","1317","粤G56169","14546971650"
"40288dee5b476aa5015b5c17aa720415","1318","粤G55941","14546971596"
"40288dee5b476aa5015b5c1645db0411","1316","粤G56177","14546971639"
"40288dee5b476aa5015b5c158613040f","1315","粤G56166","14546971668"
"40288dee5b476aa5015b5c14c547040d","1314","粤G56168","14546971686"
"40288dee5b476aa5015b5c142bfd040b","1313","粤G56183","14546971660"
"40288dee5b476aa5015b5c138e850409","1312","粤G56167","14546971708"
"40288dee5b476aa5015b5c12df160407","1311","粤G55417","14546971598"
"40288dee5b476aa5015b5c11fc680405","1310","粤G56187","14546971659"
"40288dee5b476aa5015b5c11371e0403","1309","粤G56176","14546971617"
"40288dee5b476aa5015b5c10821d0401","1308","粤G56163","14546971709"
"40288dee5b476aa5015b5c0fcb3b03ff","1307","粤G56180","14546971657"
"40288dee5b476aa5015b5c0f125a03fd","1306","粤G56132","14546971658"
"40288dee5b476aa5015b5c0e646f03fb","1305","粤G56159","14546971664"
"40288dee5b476aa5015b5c0dbd0c03f9","1304","粤G56127","14546971688"
"40288dee5b476aa5015b5c0d057303f7","1303","粤G56137","14546971680"
"40288dee5b476aa5015b5c0c41f103f5","1302","粤G56186","14546971683"
"40288dee5b476aa5015b5c06cabc03f3","1301","粤G56148","14546971677"
"40288dee5b476aa5015b609666d70639","1220","粤G58440","8986011626520021179"
"40288dee5b476aa5015b6095d3170637","1219","粤G58416000","8986011626520021155"
"40288dee5b476aa5015b609510b60635","1218","粤G58457","8986011626520021154"
"40288dee5b476aa5015b609475e50633","1217","粤G5847500","8986011674520048353"
"40288dee5b476aa5015b6093d47b0631","1216","粤G58485","8986011674520048492"
"40288dee5b476aa5015b6092fd9d062f","1215","粤G57645","8986011674520048352"
"40288dee5b476aa5015b6092456d062d","1214","粤G58473000","8986011674520048354"
"40288dee5b476aa5015b60919bce062b","1213","粤G56767",""
"40288dee5b476aa5015b6090bffd0629","1212","粤G56782","14546971482"
"40288dee5b476aa5015b60902e3d0627","1211","粤G56421","14546972045"
"40288dee5b476aa5015b608fafb10625","1210","粤G56780","14546971290"
"40288dee5b476aa5015b608ee32f0623","1209","粤G58469","8986011674520048351"
"40288dee5b476aa5015b608e4d060621","1208","粤G58425","8986011674520048367"
"40288dee5b476aa5015b608d9c5f061f","1207","粤G56772","14546972042"
"40288dee5b476aa5015b608d193a061d","1206","粤G56770","14546971305"
"40288dee5b476aa5015b608c8872061b","1205","粤G56776","14546971792"
"40288dee5b476aa5015b608bf0c60619","1204","粤G56720","14546972041"
"40288dee5b476aa5015b608b62cb0617","1203","粤G56715","14546971318"
"40288dee5b476aa5015b608acbb40615","1202","粤G56781","14546971295"
"40288dee5b476aa5015b608a039c0613","1201","粤G58498","8986011674520048491"
"40288dee5b476aa5015b608860350611","1136","粤G58177","8986011674520048093"
"40288dee5b476aa5015b6087625b060f","1135","粤G54701","14546971365"
"40288dee5b476aa5015b60867f2b060d","1134","粤G58181","8986011674520048099"
"40288dee5b476aa5015b6085aacc060b","1133","粤G55998","14546971378"
"40288dee5b476aa5015b608510530609","16005","粤G56472","14546971869"
"40288dee5b476aa5015b608485c10607","1131","粤G55981","14546971392"
"40288dee5b476aa5015b6083ed930605","16003","粤G56556","14529702317"
"40288dee5b476aa5015b60831db10603","1129","粤G55990","14546971368"
"40288dee5b476aa5015b60821c170601","1128","粤G58063","8986011674520048095"
"40288dee5b476aa5015b60818c6905ff","1127","粤G55950","14546995442"
"40288dee5b476aa5015b6080e4f405fd","1126","粤G58192","8986011626520021200"
"40288dee5b476aa5015b60804b5105fb","1125","粤G55989","14546971383"
"40288dee5b476aa5015b607f9c3e05f9","1124","粤G58187","8986011674520048090"
"40288dee5b476aa5015b607f0a7c05f7","1123","粤G55983","14546971370"
"40288dee5b476aa5015b607e6b8b05f5","1122","粤G56160","14546971675"
"40288dee5b476aa5015b607da92005f3","1121","粤G55959","14546971377"
"40288dee5b476aa5015b607cc17c05f1","1120","粤G56179","14546971669"
"40288dee5b476aa5015b607c0c9e05ef","1119","粤G55977","14546971363"
"40288dee5b476aa5015b607b5b7f05ed","1118","粤G58172","8986011674520048091"
"40288dee5b476aa5015b607aa6d905eb","1117","粤G55972","14546971390"
"40288dee5b476aa5015b6079f06805e9","1609","粤G58346","8986011674520048497"
"40288dee5b476aa5015b60796d4805e7","1115","粤G55949","14546971360"
"40288dee5b476aa5015b6078bbb005e5","16011","粤G56451","14546971953"
"40288dee5b476aa5015b6077eb4605e3","1113","粤G55993","14546971376"
"40288dee5b476aa5015b6076d92a05e1","16002","粤G56412","14546971716"
"40288dee5b476aa5015b6073430c05dd","16010","粤G56523","14546971765"
"40288dee5b476aa5015b6072a34305db","1109","粤G55976","14546971278"
"40288dee5b476aa5015b6072030c05d9","1108","粤G56155","14546971671"
"40288dee5b476aa5015b6071554305d7","1107","粤G55996","14546971389"
"40288dee5b476aa5015b60709faa05d5","1106","粤G56158","14546971673"
"40288dee5b476aa5015b606fe1a405d3","1105","粤G55970","14546971352"
"40288dee5b476aa5015b606f3b4105d1","1104","粤G56107","14546971706"
"40288dee5b476aa5015b606e8e2305cf","1103","粤G55980","14546971359"
"40288dee5b476aa5015b606dafd005cd","1102","粤G56178","14546971672"
"40288dee5b476aa5015b606cf0d905cb","1101","粤G55872","14546971351"
"40288dee5b476aa5015b606bb64705c9","1020","粤G56762","14546971510"
"40288dee5b476aa5015b606b1d1805c7","1019","粤G56778","14546971296"
"40288dee5b476aa5015b606a82f005c5","1018","粤G56785","14546971287"
"40288dee5b476aa5015b6069b3b905c3","1017","粤G56771","14546971328"
"40288dee5b476aa5015b6068ec1a05c1","1016","粤G56777","14546971760"
"40288dee5b476aa5015b606852b105bf","1014","粤G56768","14546971509"
"40288dee5b476aa5015b6067c10205bd","1013","粤G56721","14546971292"
"40288dee5b476aa5015b6067368505bb","1012","粤G56756","14546960089"
"40288dee5b476aa5015b6066902905b9","1011","粤G56739","14546971313"
"40288dee5b476aa5015b6066077105b7","1009","粤G56786","14546971308"
"40288dee5b476aa5015b60657fd405b5","1008","粤G56773","14546971455"
"40288dee5b476aa5015b6064e04405b3","1007","粤G56755","14529702297"
"40288dee5b476aa5015b6064575e05b1","1006","粤G56766","14546971312"
"40288dee5b476aa5015b606397b605af","1005","粤G56753","14546971484"
"40288dee5b476aa5015b6062c86e05ad","1004","粤G56732","14529702502"
"40288dee5b476aa5015b6062082005ab","1003","粤G56738","14546971297"
"40288dee5b476aa5015b60615a0705a9","1002","粤G56751","14546971753"
"40288dee5b476aa5015b6060c33b05a7","1001","粤G56728","14546971331"
"40288dee5b915e55015b9162fefd0001","F3270","F32700",""
"40288dee5b932d6a015b9538dcb90007","5905","粤G58310","8986011674520048205"
"40288dee5b9af164015b9b484d8500ad","2222","粤G58068","8986011674520048032"
"40288dee5b9af164015b9b4e3adb00c2","2225","粤G58103","8986011674520048088"
"40288dee5b9af164015b9b7110e50105","2221","粤G58118","8986011674520048031"
"40288dee5b9f5ecf015ba54eb6dd01c8","12336","粤G86895",""
"40288dee5b9f5ecf015ba552abeb01ca","3404","粤G56919","14546960179"
"40288dee5b9f5ecf015ba64cc35101cf","0213","粤G58128","8986011674520048059"
"40288dee5b9f5ecf015bb39fc2e20300","2608","粤G58363","8986011626520021280"
"40288dee5b9f5ecf015bb3a770340304","5304","粤G58369","8986011626520021250"
"40288dee5b9f5ecf015bb3a9a7df0307","5307","粤G58375","8986011626520021247"
"40288dee5b9f5ecf015bb3b12502030c","3716","粤G58358","8986011626520021257"
"40288dee5b9f5ecf015bb3be5868030f","5308","粤G58315","8986011626520021253"
"40288dee5b9f5ecf015bb511206e0314","2605","粤G58329","8986011626520021281"
"40288dee5b9f5ecf015bb761d616032a","5301","粤G58381","8986011626520021288"
"40288dee5b9f5ecf015bb7632822032d","2601","粤G58383","8986011626520021279"
"40288dee5b9f5ecf015bb765fa51032f","3715","粤G58368","8986011626520021256"
"40288dee5b9f5ecf015bb767312f0341","2606","粤G58421","8986011626520021276"
"40288dee5b9f5ecf015bb7683a0a0343","2610","粤G58378","8986011626520021287"
"40288dee5b9f5ecf015bb776ce9a0355","3912","粤G58279","8986011626520021286"
"40288dee5b9f5ecf015bb777e3980357","3914","粤G57340","8986011626520021275"
"40288dee5b9f5ecf015bb781474f0359","3913","粤G58351","8986011626520021285"
"40288dee5b9f5ecf015bb7887977035b","3911","粤G58377","8986011626520021284"
"40288dee5b9f5ecf015bb79d4c080365","2604","粤G58365","8986011626520021283"
"40288dee5b9f5ecf015bb79e24bd0367","2607","粤G58362","8986011626520021278"
"40288dee5b9f5ecf015bb7b493920369","2602","粤G58373","8986011626520021273"
"40288dee5b9f5ecf015bb7ca48d0036b","2603","粤G58370","8986011626520021282"
"40288dee5b9f5ecf015bb7d06cc9036d","2609","粤G58366","8986011626520021274"
"40288dee5b9f5ecf015bdd07145d03cd","47702","粤G47702","8986011674520048127S"
"40288dee5b9f5ecf015c0a5a9a270681","1808","粤G54559",""
"40288dee5b9f5ecf015c0b1a3c6c0765","1801","粤G54557",""
"40288dee5b9f5ecf015c156251100795","3503","粤G58342","14546971605"
"170523202707535","4701","粤G56815","14546972041"
"170523204402491","4704","粤G56743","14546971710"
"170523205233681","4702","粤G56868","14546971396"
"170523220022679","4707","粤G56857","14546971707"
"170524011742962","4708","粤G56835","14546971704"
"170524012108666","0522","粤G123321",""
"170524210714426","1112","粤G58506","8986011626520021194"
"170524213155839","1110","粤G58487","8986011626520021198"
"170524232559125","1114","粤G57415","8986011626520021197"
"170525003558778","1116","粤G56741","8986011626520021200"
"170525032413657","1132","粤G58415","8986011626520021193"
"170525122428840","1111","粤G55952","14546971375"
"170525210642692","1130","粤G58446","8986011626520021191"
"170525210910973","2018","粤G57640",""
"170525211114140","4424","粤G58449","8986011626520021215"
"170525212248365","2111","粤G54576",""
"170525212515708","2019","粤G58409","8986011626520021236"
"170525213442799","4420","粤G58442","8986011626520021216"
"170525214014306","2103","粤G52339","14546994962"
"170525215039588","2K18","粤G56853",""
"170525215643711","4414","粤G56842","8986011626520021219"
"170525222413407","2020","粤G58401","8986011626520021237"
"170525222737531","4423","粤G58408","8986011626520021218"
"170525223757341","4417","粤G58443","8986011626520021217"
"170525224927813","4415","粤G56649","8986011626520021211"
"170525232807890","2012","粤G58075","8986011674520048097"
"170525232931805","4422","粤G58447","8986011626520021213"
"170525234526479","4413","粤G56495","8986011626520021221"
"170526000953597","4421","粤G58430","8986011626520021212"
"170526001819272","4416","粤G56795",""
"170526002134546","2110","粤G52831","14546995450"
"170526013503935","2017","粤G58410",""
"170526105301655","4419","粤G56406",""
"170526120527257","2008","粤G58386","8986011674520048510"
"170526205654439","4314","粤G56866","14546971612"
"170527003837362","4217","粤G58552","8986011626520021156"
"170527011336365","4311","粤G56808","14546971656"
"170527020654471","test2","test",""
"170529131232534","4418","粤G56735","8986011626520021210"
"170531143350709","80721","粤G58257",""
"170531161808390","80720","粤G58258",""
"170531175418202","80722","粤G58206",""
"170531185839547","80724","粤G58251",""
"170531193048692","6308","粤G52348","14546995246"
"170531193746180","6309","粤G52337","14546995458"
"170531194224849","6307","粤G52167",""
"170602093750374","1621","粤G58422","8986011626520021272"
"170602094854896","1622","粤G58390","8986011626520021245"
"170602100247840","1625","粤G58412","8986011626520021260"
"170602101504573","1624","粤G57940","8986011626520021262"
"170602104243316","1619","粤G58376","8986011626520021266"
"170602104759903","4705","粤G56645","14546971700"
"170602105615802","1623","粤G58321","8986011626520021265"
"170602110520564","1620","粤G58388","8986011626520021263"
"170602111341472","1626","粤G58433","8986011626520021264"
"170602112042379","3712","粤G58355","8986011626520021259"
"170602112751632","3713","粤G58353","8986011626520021258"
"170602113016664","3714","粤G58352","8986011626520021261"
"170602114244866","3718","粤G58380","8986011626520021267"
"170602114842289","3711","粤G58360","8986011626520021268"
"170602163756161","80723","粤G58242",""
"170602191815516","lyp","粤Gtest",""
"170609153949174","80728","粤G58201",""
"170609161101721","80730","粤G58259",""
"170609163658265","80726","粤G58245",""
"170613093047756","2021","粤G57543","8986011626520021239S"
"170613095742406","2022","粤G58340","8986011626520021205S"
"170623170634613","80717","粤G58276",""
"170624144849825","80718","粤G58265",""
"170629225754602","ceshi","粤cheshi",""
"170707145429999","5302","粤G58367","8986011626520021252"
"170707145642798","5303","粤G58337","8986011626520021249"
"170707150432680","5305","粤G58322","8986011626520021248"
"170707150551710","5306","粤G58270","8986011626520021251"
"170710161434725","停0","粤G52370",""
"170717153141980","7202","粤G54445",""
"170718115512133","80729","粤G58277","8986011474520008527S"
"170720110054500","0810","粤G56760",""
"170720115602833","3413","粤G56497",""
"170720154256493","80725","粤G58250",""
"170720163126917","80727","粤G58207","8986011474520008522S"
"170724101434497","1519","粤G56880","8986011474520008604S"
"170724105330941","1517","粤G56922",""
"170727160510280","1518","粤G56926",""
"170801223245468","20501","粤G22F12",""
"170801223456271","20502","粤G22F02",""
"170801223629754","20503","粤G18F03",""
"170801223727737","20504","粤G22F80",""
"170801223919335","20505","粤G22F81",""
"170803115206740","ting1","粤G52175",""
"170803170519963","80719","粤G58278",""
"170803180322711","4315","粤G56580",""
"170804164048572","1520","粤G56587","8986011474520008586S"
"170815101343493","7315","粤G56588",""
"170815104658925","7317","粤G56591",""
"170815104825419","7318","粤G56593",""
"170815110540427","7319","粤G56830",""
"170815111932114","7320","粤G56791",""
"170815113608893","2721","粤G56577",""
"170815114704282","2720","粤G56477",""
"170815115436344","2722","粤G56589",""
"170816162608383","11113","粤T1234",""
"170817122808829","4703","粤56802","8986011474520008457S"
"170818103101771","4710","粤G56831","8986011474520008407S"
"170818103556974","4709","粤56823","8986011474520008428S"
"170818111309141","4711","粤56796","8986011474520008467S"
"170818114857600","22004","粤56402","8986011474520008528S"
"170818163945818","22003","粤56517","8986011474520008567S"
"170821154119957","20601","粤G54849","8986011626520021269S"
"170822165520907","20602","粤G54846","8986011474520008512S"
"170827134636844","21002","粤G56886",""
"170827134841309","21004","粤G56902",""
"170828120259275","2723","粤G55742","14546971911"
